,Point,Lat,Long,Temp_score,Pluv_score,Total_score
88,1853,42.2076,9.0574,0.02669764781699314,0.0,0.0
89,1854,42.2015,9.1536,0.44448865514650665,0.0,0.0
90,1855,42.1952,9.2498,0.8045454545454547,0.0,0.0
91,1856,42.1889,9.346,0.8827272727272728,0.0,0.0
92,1857,42.1824,9.4421,1.0,0.0,0.0
93,1918,42.4897,1.5116,0.03313306835821006,0.40859999999999985,0.013538171731164625
94,1919,42.4905,1.6087,0.0,0.1407999999999996,0.0
95,1920,42.4911,1.7057,0.0,0.3185000000000002,0.0
96,1921,42.4916,1.8028,0.0,0.0,0.0
97,1922,42.4921,1.8998,0.0045113073537083334,0.0,0.0
98,1923,42.4924,1.9969,0.04036986270209563,0.0,0.0
99,1924,42.4927,2.0939,0.016624188344492134,0.0,0.0
100,1925,42.4929,2.191,0.012415646865930555,0.0,0.0
101,1926,42.4929,2.2881,0.003197891107596581,0.0,0.0
102,1927,42.4929,2.3851,0.01554182713908559,0.01949999999999985,0.0003030656292121667
103,1928,42.4929,2.4822,2.6391844778362205e-05,0.9824999999999999,2.5929987494740864e-05
104,1929,42.4927,2.5792,0.4029840000000001,1.0,0.4029840000000001
105,1930,42.4924,2.6763,0.8172727272727274,0.4762000000000004,0.3891852727272731
106,1931,42.4921,2.7733,0.9036363636363636,0.0,0.0
107,1932,42.4916,2.8704,0.8500000000000001,0.0,0.0
108,1933,42.4911,2.9674,0.7181818181818183,0.0,0.0
109,1934,42.4905,3.0645,0.8818181818181818,0.0,0.0
110,1992,42.303,8.6801,0.95,0.0,0.0
111,1993,42.2972,8.7765,0.4893471074380166,0.0,0.0
112,1994,42.2913,8.8729,0.1274363168909229,0.0,0.0
113,1995,42.2853,8.9693,0.1346612986981764,0.0,0.0
114,1996,42.2792,9.0656,0.16934412622088665,0.0,0.0
115,1997,42.273,9.162,0.6663214876033059,0.0,0.0
116,1998,42.2667,9.2583,0.7872727272727273,0.0,0.0
117,1999,42.2604,9.3546,0.7527272727272727,0.0,0.0
118,2000,42.2539,9.4509,0.8636363636363638,0.0,0.0
119,2061,42.5616,1.5106,0.003800944791124553,0.6036000000000001,0.002294250275922781
120,2062,42.5623,1.6078,0.0,0.0,0.0
121,2063,42.5629,1.7049,0.0,0.19599999999999973,0.0
122,2064,42.5634,1.8021,0.0,0.0,0.0
123,2065,42.5639,1.8993,0.0,0.0,0.0
124,2066,42.5642,1.9965,0.0,0.0,0.0
125,2067,42.5645,2.0936,0.004884035767651247,0.0,0.0
126,2068,42.5647,2.1908,0.058694583530566585,0.0,0.0
127,2069,42.5648,2.288,0.33804265965439545,0.0,0.0
128,2070,42.5648,2.3852,0.5843515371900828,0.0,0.0
129,2071,42.5647,2.4823,0.2751713636363637,0.0,0.0
130,2072,42.5645,2.5795,0.5532413463561233,0.0,0.0
131,2073,42.5642,2.6767,0.7845454545454547,0.0,0.0
132,2074,42.5639,2.7739,0.9481818181818182,0.0,0.0
133,2075,42.5634,2.8711,1.0,0.0,0.0
134,2076,42.5629,2.9682,1.0,0.0,0.0
135,2135,42.3746,8.6879,0.8554545454545455,0.0,0.0
136,2136,42.3688,8.7844,0.7354545454545456,0.0,0.0
137,2137,42.3629,8.8809,0.12093638324567998,0.0,0.0
138,2138,42.3568,8.9774,0.12285169190082648,0.0,0.0
139,2139,42.3507,9.0739,0.3124208429752068,0.0,0.0
140,2140,42.3446,9.1704,0.7481818181818183,0.0,0.0
141,2141,42.3383,9.2668,0.5303738542449287,0.0,0.0
142,2142,42.3319,9.3632,0.42843364688204383,0.0,0.0
143,2143,42.3254,9.4596,0.7863636363636364,0.0,0.0
144,2203,42.6326,1.4123,0.0,0.4065999999999992,0.0
145,2204,42.6334,1.5096,0.0,0.15409999999999968,0.0
146,2205,42.6341,1.6069,0.0,0.3630999999999993,0.0
147,2206,42.6347,1.7042,0.0,0.5577999999999994,0.0
148,2207,42.6353,1.8014,0.0,1.0,0.0
149,2208,42.6357,1.8987,0.0,0.6760999999999999,0.0
150,2209,42.6361,1.996,0.0,0.6328999999999994,0.0
151,2210,42.6363,2.0933,0.005193210565454548,0.0,0.0
152,2211,42.6365,2.1906,0.0,1.0,0.0
153,2212,42.6366,2.2879,0.13930017627211264,0.0,0.0
154,2213,42.6366,2.3852,0.7027272727272729,0.0,0.0
155,2214,42.6365,2.4825,0.801818181818182,0.0,0.0
156,2215,42.6363,2.5798,0.840909090909091,0.0,0.0
157,2216,42.6361,2.6771,0.9036363636363636,0.0,0.0
158,2217,42.6357,2.7744,0.9754545454545456,0.0,0.0
159,2218,42.6353,2.8717,1.0,0.0,0.0
160,2219,42.6347,2.969,1.0,0.0,0.0
161,2278,42.4462,8.6957,0.9736363636363639,0.0,0.0
162,2279,42.4404,8.7924,0.73,0.0,0.0
163,2280,42.4344,8.889,0.15162358016528935,0.0,0.0
164,2281,42.4284,8.9856,0.12557938298271987,0.0,0.0
165,2282,42.4223,9.0822,0.2414919413974457,0.0,0.0
166,2283,42.4161,9.1788,0.8190909090909091,0.0,0.0
167,2284,42.4098,9.2753,0.6809090909090909,0.0,0.0
168,2285,42.4034,9.3719,0.7627272727272729,0.0,0.0
169,2286,42.397,9.4684,0.8327272727272728,0.0,0.0
170,2336,42.6915,0.4373,0.0,0.5966999999999993,0.0
171,2337,42.6932,0.5346,0.0,0.008999999999998565,0.0
172,2338,42.6948,0.632,0.0,0.5228999999999999,0.0
173,2346,42.7044,1.4111,0.0,0.9364999999999997,0.0
174,2347,42.7052,1.5086,0.0,1.0,0.0
175,2348,42.706,1.606,0.0,1.0,0.0
176,2349,42.7066,1.7034,0.005782063449666648,1.0,0.005782063449666648
177,2350,42.7071,1.8008,0.14181129378047955,0.7308000000000003,0.1036356934947745
178,2351,42.7076,1.8982,0.0762936416012677,0.8731999999999998,0.06661960784622693
179,2352,42.7079,1.9956,0.0,1.0,0.0
180,2353,42.7082,2.093,0.10862726988825903,0.0,0.0
181,2354,42.7084,2.1905,0.02741666103416776,0.3956999999999997,0.010848772771220176
182,2355,42.7085,2.2879,0.11028680296311862,0.3984999999999994,0.043949290980802705
183,2356,42.7085,2.3853,0.3365535597295269,0.0,0.0
184,2357,42.7084,2.4827,0.6681818181818182,0.0,0.0
185,2358,42.7082,2.5801,0.8172727272727274,0.0,0.0
186,2359,42.7079,2.6775,0.939090909090909,0.0,0.0
187,2360,42.7076,2.775,0.9863636363636366,0.0,0.0
188,2361,42.7071,2.8724,1.0,0.0,0.0
189,2362,42.7066,2.9698,1.0,0.0,0.0
190,2421,42.5178,8.7036,0.9700000000000002,0.0,0.0
191,2422,42.512,8.8003,0.9718181818181819,0.0,0.0
192,2423,42.506,8.8971,0.5569049211119461,0.0,0.0
193,2424,42.5,8.9938,0.3285625604808416,0.0,0.0
194,2425,42.4939,9.0905,0.7009090909090911,0.0,0.0
195,2426,42.4877,9.1872,0.8327272727272728,0.0,0.0
196,2427,42.4814,9.2839,0.7872727272727273,0.0,0.0
197,2428,42.475,9.3805,0.7872727272727273,0.0,0.0
198,2429,42.4685,9.4772,0.9672727272727275,0.0,0.0
199,2474,42.7535,-0.0524,0.0,1.0,0.0
200,2475,42.7557,0.045,0.0,1.0,0.0
201,2476,42.7577,0.1425,0.0,1.0,0.0
202,2477,42.7597,0.24,0.0,1.0,0.0
203,2478,42.7616,0.3374,0.0,1.0,0.0
204,2479,42.7634,0.4349,0.00012324652092805417,0.8578000000000001,0.00010572086565208488
205,2480,42.765,0.5324,0.007305650630806104,1.0,0.007305650630806104
206,2481,42.7667,0.6299,0.07622504460184416,1.0,0.07622504460184416
207,2484,42.7709,0.9224,0.0,0.0,0.0
208,2486,42.7733,1.1174,0.0,0.04889999999999972,0.0
209,2487,42.7744,1.2149,0.08540363175698276,1.0,0.08540363175698276
210,2488,42.7754,1.3125,0.08415320213473997,1.0,0.08415320213473997
211,2489,42.7763,1.41,0.0023907131542877744,1.0,0.0023907131542877744
212,2490,42.7771,1.5075,0.1953866276893656,0.827,0.16158474109910534
213,2491,42.7778,1.6051,0.2837811930879039,0.6119000000000003,0.17364571205048848
214,2492,42.7784,1.7026,0.379042359128475,0.4350000000000005,0.1648834262208868
215,2493,42.779,1.8001,0.15412029376408726,0.7054,0.10871645522118716
216,2494,42.7794,1.8977,0.0390319678675156,0.9669999999999996,0.03774391292788757
217,2495,42.7798,1.9952,0.07226105478370254,0.20040000000000013,0.014481115378653998
218,2496,42.78,2.0927,0.2301803959429002,0.00930000000000053,0.0021406776822690938
219,2497,42.7802,2.1903,0.30882444027047345,0.0,0.0
220,2498,42.7803,2.2878,0.3232961044327575,0.0,0.0
221,2499,42.7803,2.3854,0.5819328324567997,0.0,0.0
222,2500,42.7802,2.4829,0.79,0.0,0.0
223,2501,42.78,2.5804,0.8836363636363638,0.0,0.0
224,2502,42.7798,2.678,0.9627272727272729,0.0,0.0
225,2503,42.7794,2.7755,0.9536363636363636,0.0,0.0
226,2504,42.779,2.873,1.0,0.0,0.0
227,2505,42.7784,2.9706,1.0,0.0,0.0
228,2565,42.5835,8.8083,1.0,0.0,0.0
229,2566,42.5776,8.9052,0.9227272727272726,0.0,0.0
230,2567,42.5716,9.002,0.7827272727272727,0.0,0.0
231,2568,42.5654,9.0989,0.7890909090909091,0.0,0.0
232,2569,42.5592,9.1957,0.5994335837716004,0.0,0.0
233,2570,42.5529,9.2925,0.6736363636363638,0.0,0.0
234,2571,42.5465,9.3892,0.8245454545454547,0.0,0.0
235,2572,42.54,9.486,1.0,0.0,0.0
236,2612,42.8133,-0.5431,0.00294484817720675,1.0,0.00294484817720675
