,Point,Lat,Long,Temp_score,Pluv_score
100,1925,42.4929,2.191,0.0,0.9873722222222222
101,1926,42.4929,2.2881,0.0,0.9861444444444446
102,1927,42.4929,2.3851,0.0,0.96025
103,1928,42.4929,2.4822,0.0,0.5517888888888889
104,1929,42.4927,2.5792,0.0,0.7985611111111112
105,1930,42.4924,2.6763,0.002845626097677566,0.9393333333333334
106,1931,42.4921,2.7733,0.01252103745589273,1.0
107,1932,42.4916,2.8704,0.0030541300669402415,1.0
108,1933,42.4911,2.9674,0.0006580785854172639,1.0
109,1934,42.4905,3.0645,0.017233696986040093,1.0
110,1992,42.303,8.6801,0.030726559043783644,1.0
111,1993,42.2972,8.7765,0.0,0.8813333333333333
112,1994,42.2913,8.8729,0.0,0.7767722222222223
113,1995,42.2853,8.9693,0.0,0.774538888888889
114,1996,42.2792,9.0656,0.0,0.8442222222222222
115,1997,42.273,9.162,0.0,1.0
116,1998,42.2667,9.2583,0.00012662929074797765,0.0
117,1999,42.2604,9.3546,0.0,0.91415
118,2000,42.2539,9.4509,0.003558541566855395,0.9620666666666666
119,2061,42.5616,1.5106,0.0,0.9705333333333334
120,2062,42.5623,1.6078,0.0,0.9350666666666667
121,2063,42.5629,1.7049,0.0,0.9008166666666667
122,2064,42.5634,1.8021,0.0,1.0
123,2065,42.5639,1.8993,0.0,0.9838333333333334
124,2066,42.5642,1.9965,0.0,0.9999833333333334
125,2067,42.5645,2.0936,0.0,1.0
126,2068,42.5647,2.1908,0.0,1.0
127,2069,42.5648,2.288,0.0,1.0
128,2070,42.5648,2.3852,0.0,1.0
129,2071,42.5647,2.4823,0.0,1.0
130,2072,42.5645,2.5795,0.0,0.9453388888888888
131,2073,42.5642,2.6767,0.0008896036416180644,1.0
132,2074,42.5639,2.7739,0.019921334978757043,1.0
133,2075,42.5634,2.8711,0.030358345218583566,1.0
134,2076,42.5629,2.9682,0.03696711856053425,0.0
135,2135,42.3746,8.6879,0.011768669996912643,1.0
136,2136,42.3688,8.7844,0.0,0.9778777777777778
137,2137,42.3629,8.8809,0.0,0.7728499999999998
138,2138,42.3568,8.9774,0.0,0.7685000000000001
139,2139,42.3507,9.0739,0.0,0.8857111111111111
140,2140,42.3446,9.1704,0.0,1.0
141,2141,42.3383,9.2668,0.0,0.8307500000000001
142,2142,42.3319,9.3632,0.0,0.8079111111111111
143,2143,42.3254,9.4596,0.00021718570725633632,0.913911111111111
144,2203,42.6326,1.4123,0.0,0.6513333333333333
145,2204,42.6334,1.5096,0.0,0.8928333333333335
146,2205,42.6341,1.6069,0.0,0.6340166666666667
147,2206,42.6347,1.7042,0.0,0.6570111111111111
148,2207,42.6353,1.8014,0.0,0.71025
149,2208,42.6357,1.8987,0.0,0.6612111111111112
150,2209,42.6361,1.996,0.0,0.6648055555555555
151,2210,42.6363,2.0933,0.0,1.0
152,2211,42.6365,2.1906,0.0,0.7305777777777777
153,2212,42.6366,2.2879,0.0,1.0
154,2213,42.6366,2.3852,0.0,1.0
155,2214,42.6365,2.4825,0.002187869502723439,1.0
156,2215,42.6363,2.5798,0.002470577024392008,1.0
157,2216,42.6361,2.6771,0.008729933681490032,1.0
158,2217,42.6357,2.7744,0.025844045845424914,1.0
159,2218,42.6353,2.8717,0.03429146714544919,1.0
160,2219,42.6347,2.969,0.04140077742362564,0.0
161,2278,42.4462,8.6957,0.05274438152005834,1.0
162,2279,42.4404,8.7924,0.0003767521324921732,1.0
163,2280,42.4344,8.889,0.0,0.8173777777777778
164,2281,42.4284,8.9856,0.0,0.7703222222222224
165,2282,42.4223,9.0822,0.0,0.8605777777777777
166,2283,42.4161,9.1788,8.817084555879622e-05,0.9744000000000002
167,2284,42.4098,9.2753,0.0,0.878561111111111
168,2285,42.4034,9.3719,2.907557523004581e-06,0.9117277777777777
169,2286,42.397,9.4684,0.0014118796525362097,0.9422777777777778
170,2336,42.6915,0.4373,0.0,0.5208777777777778
171,2337,42.6932,0.5346,0.0,0.5499499999999999
172,2338,42.6948,0.632,0.0,0.6167222222222221
173,2346,42.7044,1.4111,0.0,0.7019388888888889
174,2347,42.7052,1.5086,0.0,0.719
175,2348,42.706,1.606,0.0,0.7150277777777777
176,2349,42.7066,1.7034,0.0,0.7519722222222223
177,2350,42.7071,1.8008,0.0,0.8155388888888889
178,2351,42.7076,1.8982,0.0,0.8043222222222223
179,2352,42.7079,1.9956,0.0,0.7279333333333333
180,2353,42.7082,2.093,0.0,1.0
181,2354,42.7084,2.1905,0.0,0.8370277777777778
182,2355,42.7085,2.2879,0.0,0.8198833333333335
183,2356,42.7085,2.3853,0.0,0.9715444444444444
184,2357,42.7084,2.4827,0.0,1.0
185,2358,42.7082,2.5801,6.190067465926353e-05,1.0
186,2359,42.7079,2.6775,0.003940322531027176,1.0
187,2360,42.7076,2.775,0.027170391957698818,1.0
188,2361,42.7071,2.8724,0.03550792317284799,1.0
189,2362,42.7066,2.9698,0.040168278732194224,1.0
190,2421,42.5178,8.7036,0.051130372389773006,1.0
191,2422,42.512,8.8003,0.05246037708742508,1.0
192,2423,42.506,8.8971,1.0949011560149933e-07,1.0
193,2424,42.5,8.9938,0.0,0.8729944444444444
194,2425,42.4939,9.0905,0.0,0.9502111111111111
195,2426,42.4877,9.1872,0.00025938400779081447,0.0
196,2427,42.4814,9.2839,0.0,1.0
197,2428,42.475,9.3805,0.00012372845482352233,0.9830666666666668
198,2429,42.4685,9.4772,0.04701453254548785,0.0
199,2474,42.7535,-0.0524,0.0,0.6450222222222223
200,2475,42.7557,0.045,0.0,0.6768388888888891
201,2476,42.7577,0.1425,0.0,0.6144777777777778
202,2477,42.7597,0.24,0.0,0.6576444444444445
203,2478,42.7616,0.3374,0.0,0.6637
204,2479,42.7634,0.4349,0.0,0.7979055555555556
205,2480,42.765,0.5324,0.0,0.7062166666666666
206,2481,42.7667,0.6299,0.0,0.7599111111111111
207,2484,42.7709,0.9224,0.0,0.4567944444444443
208,2486,42.7733,1.1174,0.0,0.5489722222222222
209,2487,42.7744,1.2149,0.0,0.6436166666666667
210,2488,42.7754,1.3125,0.0,0.6526777777777778
211,2489,42.7763,1.41,0.0,0.5866166666666668
212,2490,42.7771,1.5075,0.0,0.836538888888889
213,2491,42.7778,1.6051,0.0,0.8429166666666666
214,2492,42.7784,1.7026,0.0,0.8746388888888889
215,2493,42.779,1.8001,0.0,0.8198666666666669
216,2494,42.7794,1.8977,0.0,0.7890222222222223
217,2495,42.7798,1.9952,0.0,0.8488055555555555
218,2496,42.78,2.0927,0.0,0.9015055555555556
219,2497,42.7802,2.1903,0.0,0.9255277777777778
220,2498,42.7803,2.2878,0.0,0.9133277777777778
221,2499,42.7803,2.3854,0.0,1.0
222,2500,42.7802,2.4829,3.250403323537605e-05,1.0
223,2501,42.78,2.5804,0.0006761522202663503,1.0
224,2502,42.7798,2.678,0.0061084013283305,1.0
225,2503,42.7794,2.7755,0.017947468254413422,0.0
226,2504,42.779,2.873,0.036127321778264054,1.0
227,2505,42.7784,2.9706,0.0408790341947886,1.0
228,2565,42.5835,8.8083,0.09750861528432321,1.0
229,2566,42.5776,8.9052,0.028732979626529733,1.0
230,2567,42.5716,9.002,0.002413686536799668,1.0
231,2568,42.5654,9.0989,0.0035203933540834606,1.0
232,2569,42.5592,9.1957,8.183133323973299e-06,1.0
233,2570,42.5529,9.2925,6.330763625607041e-05,1.0
234,2571,42.5465,9.3892,0.0008741247327375554,0.9377944444444446
235,2572,42.54,9.486,0.12124809174453496,0.6802000000000001
236,2612,42.8133,-0.5431,0.0,0.5295111111111113
237,2613,42.8159,-0.4456,0.0,0.46767222222222204
238,2614,42.8184,-0.3481,0.0,0.4524166666666667
239,2615,42.8208,-0.2505,0.0,0.5527499999999999
240,2616,42.8231,-0.1529,0.0,0.6273388888888891
241,2617,42.8254,-0.0554,0.0,0.6371111111111111
242,2618,42.8275,0.0422,0.0,0.742311111111111
243,2619,42.8296,0.1398,0.0,0.64725
244,2620,42.8315,0.2374,0.0,0.70925
245,2621,42.8334,0.335,0.0,0.9125166666666666
246,2622,42.8352,0.4326,0.0,0.8709444444444445
247,2623,42.8369,0.5302,0.0,0.7281777777777778
248,2624,42.8385,0.6278,0.0,0.7727944444444445
249,2626,42.8414,0.823,0.0,0.7159222222222222
250,2627,42.8428,0.9206,0.0,0.6050666666666668
251,2628,42.844,1.0183,0.0,0.661211111111111
252,2629,42.8452,1.1159,0.0,0.6095999999999999
253,2630,42.8463,1.2136,0.0,0.7693833333333334
254,2631,42.8472,1.3112,0.0,0.722338888888889
255,2632,42.8481,1.4088,0.0,0.6455944444444446
256,2633,42.8489,1.5065,0.0,0.8376111111111111
257,2634,42.8497,1.6041,0.0,0.9416388888888888
258,2635,42.8503,1.7018,0.0,0.823311111111111
259,2636,42.8508,1.7995,0.0,0.8083166666666667
260,2637,42.8513,1.8971,0.0,0.8849444444444444
261,2638,42.8516,1.9948,0.0,0.9341833333333334
262,2639,42.8519,2.0924,0.0,0.9405777777777777
263,2640,42.8521,2.1901,0.0,0.9949055555555556
264,2641,42.8522,2.2877,0.0,0.9674444444444444
265,2642,42.8522,2.3854,0.0,0.942988888888889
266,2643,42.8521,2.4831,0.0,0.9721777777777778
267,2644,42.8519,2.5807,4.37347280237372e-06,1.0
268,2645,42.8516,2.6784,0.00022693263554718693,1.0
269,2646,42.8513,2.776,0.008407072634386987,1.0
270,2647,42.8508,2.8737,0.019058652578336666,1.0
271,2648,42.8503,2.9714,0.03163443597387731,1.0
272,2711,42.637,9.1072,0.054120274409235704,1.0
273,2712,42.6308,9.2042,0.0020676002316939975,1.0
274,2713,42.6245,9.3011,0.05384483178691441,1.0
275,2714,42.6181,9.398,0.01483916782681734,0.0
276,2754,42.8824,-0.6444,0.0,0.37606666666666677
277,2755,42.8851,-0.5467,0.0,0.40897777777777766
278,2756,42.8877,-0.4491,0.0,0.3281222222222222
279,2757,42.8902,-0.3514,0.0,0.4585888888888887
280,2758,42.8926,-0.2537,0.0,0.6725777777777778
281,2759,42.895,-0.156,0.0,0.7454166666666667
282,2760,42.8972,-0.0584,0.0,0.8248333333333334
283,2761,42.8993,0.0393,0.0,0.7688055555555555
284,2762,42.9014,0.137,0.0,0.6817555555555554
285,2763,42.9034,0.2348,0.0,0.7205277777777779
286,2764,42.9052,0.3325,0.0,0.9251055555555556
287,2765,42.907,0.4302,0.0,0.8908777777777777
288,2766,42.9087,0.5279,0.0,0.9044388888888888
289,2767,42.9103,0.6257,0.0,0.9537166666666668
290,2768,42.9118,0.7234,0.0,0.8155166666666666
291,2769,42.9133,0.8211,0.0,0.800488888888889
292,2770,42.9146,0.9189,0.0,0.7424888888888891
293,2771,42.9159,1.0166,0.0,0.7951333333333334
294,2772,42.917,1.1144,0.0,0.7450222222222224
295,2773,42.9181,1.2122,0.0,0.8021444444444444
296,2774,42.9191,1.3099,0.0,0.7746222222222221
297,2775,42.92,1.4077,0.0,0.7473277777777778
298,2776,42.9208,1.5055,0.0,0.8417611111111112
