,Point,Latitude,Longitude,nom,code_pra
3744,14224,48.6796,2.2822,Ceinture de Paris,91333
3756,14225,48.6796,2.3908,Ceinture de Paris,91333
3768,14226,48.6795,2.4994,Ceinture de Paris,91333
3852,12699,47.778,7.4103,Plaine du Rhin,68301
3864,12841,47.8544,7.3105,Plaine du Rhin,68301
3876,12842,47.8498,7.4172,Plaine du Rhin,68301
3888,12984,47.9262,7.3173,Plaine du Rhin,68301
3900,13128,47.9934,7.431,Plaine du Rhin,68301
3912,13270,48.0698,7.3309,Plaine du Rhin,68301
3924,13271,48.0652,7.438,Plaine du Rhin,68301
3936,13557,48.2088,7.4519,Plaine du Rhin,68301
4140,12517,47.8129,3.2444,Gatinais Pauvre,89338
4152,12518,47.812,3.3512,Gatinais Pauvre,89338
4164,12660,47.8848,3.2457,Gatinais Pauvre,89338
4176,12661,47.8839,3.3526,Gatinais Pauvre,89338
4188,12802,47.9576,3.1398,Gatinais Pauvre,89338
4200,12803,47.9568,3.2469,Gatinais Pauvre,89338
4212,12945,48.0295,3.1409,Gatinais Pauvre,89338
4224,13088,48.1014,3.142,Gatinais Pauvre,89338
4236,13089,48.1006,3.2494,Gatinais Pauvre,89338
4248,13230,48.174,3.0356,Gatinais Pauvre,89338
4260,13231,48.1734,3.1431,Gatinais Pauvre,89338
4272,13232,48.1726,3.2506,Gatinais Pauvre,89338
4284,13373,48.246,3.0365,Gatinais Pauvre,89338
4296,13374,48.2453,3.1442,Gatinais Pauvre,89338
4644,10960,46.996,4.9141,Plaine Viticole de Bourgogne,21440
4656,10961,46.9936,5.0193,Plaine Viticole de Bourgogne,21440
4668,11103,47.0679,4.9176,Plaine Viticole de Bourgogne,21440
4680,11104,47.0655,5.0229,Plaine Viticole de Bourgogne,21440
4692,11247,47.1374,5.0265,Plaine Viticole de Bourgogne,21440
4704,11248,47.1349,5.1319,Plaine Viticole de Bourgogne,21440
4716,11249,47.1323,5.2372,Plaine Viticole de Bourgogne,21440
4728,11391,47.2068,5.1356,Plaine Viticole de Bourgogne,21440
4740,11392,47.2042,5.2411,Plaine Viticole de Bourgogne,21440
4752,11533,47.2812,5.0337,Plaine Viticole de Bourgogne,21440
4764,11534,47.2787,5.1394,Plaine Viticole de Bourgogne,21440
4776,11535,47.2761,5.245,Plaine Viticole de Bourgogne,21440
4788,11676,47.3532,5.0373,Plaine Viticole de Bourgogne,21440
4800,11677,47.3506,5.1431,Plaine Viticole de Bourgogne,21440
4812,11678,47.348,5.249,Plaine Viticole de Bourgogne,21440
4824,11679,47.3453,5.3548,Plaine Viticole de Bourgogne,21440
